month,status,loan_count,total_balance
2026-05-01,90 days late,3,9203.329999999987
2025-06-01,60 days late,4,37561.34999999999
2025-07-01,90 days late,4,37561.34999999999
2026-10-01,60 days late,3,12884.879999999976
2026-11-01,90 days late,3,12884.879999999976
2026-08-01,90 days late,1,4920.0
2023-05-01,90 days late,1,2885.27
2027-10-01,120 days late,1,2736.9899999999925
2023-10-01,current,446,7729842.27
2025-01-01,current,1160,14025938.349999987
2025-07-01,current,1106,9234802.109999998
2025-09-01,current,1059,7806797.26
2025-11-01,current,995,6441918.84
2025-12-01,current,953,5774769.009999999
2026-05-01,current,703,3055126.3499999996
2026-08-01,current,559,1858611.099999998
2026-11-01,current,400,1009422.7599999998
2026-12-01,current,350,796733.8799999997
2027-02-01,current,275,437885.54999999993
2023-05-01,current,183,3472391.7299999995
2023-12-01,30 days late,5,69298.98999999998
2025-10-01,60 days late,7,50529.31999999999
2023-06-01,60 days late,3,32112.590000000004
2023-07-01,90 days late,2,30739.610000000004
2024-10-01,30 days late,12,156817.08000000002
2024-04-01,120 days late,3,63746.16
2026-07-01,30 days late,9,27362.619999999988
2026-04-01,30 days late,10,55730.089999999946
2024-03-01,60 days late,4,49150.65999999998
2027-01-01,60 days late,1,411.3599999999967
2025-03-01,60 days late,8,74904.50000000001
2025-08-01,120 days late,6,69833.80999999998
2027-04-01,60 days late,1,3099.199999999989
2027-05-01,30 days late,1,228.06000000000085
2026-03-01,30 days late,10,59648.45000000004
2024-09-01,90 days late,3,11694.119999999999
2026-09-01,120 days late,4,19882.980000000007
2026-06-01,90 days late,3,7716.969999999984
2024-05-01,60 days late,4,73187.17000000001
2024-08-01,120 days late,4,77291.70999999999
2027-07-01,30 days late,1,2736.9899999999925
2027-08-01,60 days late,1,2736.9899999999925
2027-09-01,90 days late,1,2736.9899999999925
2024-07-01,90 days late,2,45263.64
2027-03-01,60 days late,1,379.380000000016
2023-08-01,current,340,6111983.2799999975
2023-11-01,current,495,8393755.050000003
2024-01-01,current,600,9665580.299999999
2024-06-01,current,854,12417108.169999996
2024-11-01,current,1069,13688370.460000003
2025-02-01,current,1154,13235726.130000005
2025-04-01,current,1142,11545164.820000019
2026-01-01,current,899,5134073.629999998
2026-02-01,current,867,4567004.220000003
2027-08-01,120 days late,1,5892.249999999991
2024-09-01,30 days late,11,120618.35000000002
2025-08-01,60 days late,6,31753.439999999988
2023-09-01,120 days late,1,3830.63
2025-10-01,120 days late,9,48138.25
2025-03-01,120 days late,7,109741.63000000003
2024-05-01,120 days late,7,112896.81999999999
2023-12-01,90 days late,1,7769.759999999997
2024-07-01,30 days late,11,104086.48999999999
2024-02-01,30 days late,9,116937.81
2026-03-01,90 days late,4,19985.13999999998
2027-05-01,90 days late,1,3099.199999999989
2024-03-01,120 days late,1,4136.780000000001
2026-06-01,30 days late,4,24756.199999999997
2024-08-01,60 days late,6,52428.259999999995
2027-01-01,120 days late,3,14953.44999999995
2026-07-01,90 days late,3,14962.980000000009
2024-04-01,60 days late,4,86066.31000000003
2023-07-01,30 days late,3,40425.32
2023-06-01,120 days late,1,2885.27
2024-10-01,90 days late,1,25396.68
2027-04-01,120 days late,1,782.8900000000017
2023-04-01,30 days late,1,30009.199999999997
2026-09-01,60 days late,1,4203.1599999999935
2026-04-01,90 days late,1,3959.0399999999863
2025-05-01,current,1131,10764131.949999982
2025-06-01,current,1125,10020163.330000004
2025-08-01,30 days late,17,80664.58000000003
2026-10-01,current,454,1266553.9899999981
2027-07-01,120 days late,2,8991.449999999979
2024-04-01,30 days late,9,157343.22
2024-02-01,60 days late,4,91131.48000000001
2024-03-01,90 days late,3,63746.16
2025-10-01,90 days late,5,22983.300000000025
2023-01-01,current,2,36725.76
2024-08-01,30 days late,12,191575.68000000005
2026-04-01,120 days late,9,58984.25000000001
2026-09-01,30 days late,7,33873.59999999996
2027-11-01,current,8,-3009.3400000000047
2024-10-01,120 days late,8,83627.23999999999
2026-06-01,60 days late,3,14962.980000000009
2024-07-01,60 days late,6,88494.40999999999
2023-12-01,120 days late,2,25941.79
2026-07-01,120 days late,4,11050.089999999984
2027-03-01,90 days late,2,2349.589999999993
2026-03-01,120 days late,8,49966.870000000024
2024-05-01,90 days late,4,86066.31000000003
2025-03-01,90 days late,5,73783.58999999997
2027-12-01,current,1,-87.18000000000075
2023-03-01,30 days late,2,30178.52
2023-07-01,60 days late,2,52729.53
2023-04-01,60 days late,1,2885.27
2024-09-01,60 days late,1,25396.68
2027-05-01,120 days late,2,1162.2700000000177
2027-04-01,90 days late,1,379.380000000016
2024-12-01,current,1115,13856035.159999978
2027-04-01,30 days late,1,5892.249999999991
2027-05-01,60 days late,1,5892.249999999991
2027-06-01,current,111,68473.23000000008
2025-03-01,30 days late,13,157882.27999999997
2025-08-01,90 days late,6,36410.45
2024-02-01,120 days late,2,11906.539999999997
2024-04-01,90 days late,4,49150.65999999998
2027-10-01,current,11,-300.1300000000108
2027-03-01,30 days late,1,3099.199999999989
2023-12-01,60 days late,1,4136.780000000001
2026-09-01,90 days late,3,10900.439999999984
2025-10-01,30 days late,9,84873.19000000002
2024-03-01,30 days late,9,179559.53000000006
2024-08-01,90 days late,6,88494.40999999999
2024-09-01,120 days late,7,117196.76
2023-09-01,30 days late,2,25941.79
2027-01-01,30 days late,4,6822.490000000003
2024-10-01,60 days late,5,46441.56000000001
2023-06-01,30 days late,4,85371.25
2024-05-01,30 days late,5,87859.97
2024-07-01,120 days late,6,118094.38000000002
2026-04-01,60 days late,5,26183.629999999994
2026-07-01,60 days late,1,4920.0
2023-07-01,120 days late,1,2885.27
2026-03-01,60 days late,2,6515.499999999974
2026-06-01,120 days late,2,7292.159999999986
